election_year,state_name,constituency_name,constituency_type,party_name,short_form,candidate_name,EVM_votes,postal_votes,total_votes,rank,notes
2024,West Bengal,Balurghat,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,BIRENDRA NATH MAHANTA,1380,7,1387,13,
2024,West Bengal,Balurghat,General,Kamatapur People’s Party (United),Other-184,RUBEL SARKAR,898,4,902,14,
2024,West Bengal,Balurghat,General,None of the Above,NOTA,NOTA,7430,7,7437,4,
2024,West Bengal,Maldaha Uttar,General,Bharatiya Janata Party,BJP,KHAGEN MURMU,525109,1914,527023,1,
2024,West Bengal,Maldaha Uttar,General,All India Trinamool Congress,AITC,PRASUN BANERJEE,448234,1081,449315,2,
2024,West Bengal,Maldaha Uttar,General,Indian National Congress,INC,ALAM MOSTAQUE,384063,701,384764,3,
2024,West Bengal,Maldaha Uttar,General,Independent,Ind,JATISH KISKU,8680,3,8683,4,
2024,West Bengal,Maldaha Uttar,General,Independent,Ind,MONATAN HEMBRAM,7927,6,7933,5,
2024,West Bengal,Maldaha Uttar,General,Independent,Ind,SWAPAN MAHATO,7235,2,7237,7,
2024,West Bengal,Maldaha Uttar,General,Bahujan Samaj Party,BSP,SANATAN RISHI,5624,8,5632,8,
2024,Jharkhand,Singhbhum,Scheduled Tribe,Right to Recall Party,Other-84,BIR SINGH DEOGAM,1919,8,1927,14,
2024,West Bengal,Maldaha Uttar,General,Independent,Ind,MONJU HEMBROM,3535,3,3538,10,
2024,West Bengal,Maldaha Uttar,General,Independent,Ind,MD FARUQUE HOSSAIN,3374,1,3375,11,
2024,West Bengal,Maldaha Uttar,General,Bharatiya Nyay-Adhikar Raksha Party,Other-106,SOMNATH DAS,3157,7,3164,12,
2024,West Bengal,Maldaha Uttar,General,Kamatapur People’s Party (United),Other-184,SUBHASH BARMAN,2019,-,2019,13,
2024,West Bengal,Maldaha Uttar,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,KALICHARAN ROY,1286,7,1293,14,
2024,West Bengal,Maldaha Uttar,General,All India Secular Front,Other-24,MD SOHEL,1090,2,1092,15,
2024,West Bengal,Maldaha Uttar,General,Jan Sangh Party,Other-258,NARESH PAL,593,3,596,16,
2024,West Bengal,Maldaha Uttar,General,None of the Above,NOTA,NOTA,7257,31,7288,6,
2024,West Bengal,Maldaha Dakshin,General,Indian National Congress,INC,ISHA KHAN CHOUDHURY,570966,1429,572395,1,
2024,West Bengal,Maldaha Dakshin,General,Bharatiya Janata Party,BJP,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),441531,2496,444027,2,
2024,West Bengal,Maldaha Dakshin,General,All India Trinamool Congress,AITC,SHAHNAWAZ ALI RAIHAN,299825,1201,301026,3,
2024,West Bengal,Maldaha Dakshin,General,Independent,Ind,PURNOCHANDRA MANDAL,8381,2,8383,4,
2024,West Bengal,Maldaha Dakshin,General,Independent,Ind,AHMED HEDATUL HASAN,5735,1,5736,5,
2024,West Bengal,Maldaha Dakshin,General,Independent,Ind,MD. JAMAL SAIKH,5386,-,5386,6,
2024,West Bengal,Maldaha Dakshin,General,Bahujan Samaj Party,BSP,BIKASH RABIDAS,5054,11,5065,7,
2024,West Bengal,Maldaha Dakshin,General,Independent,Ind,BIJOY KUMAR SARKAR,4773,3,4776,8,
2024,West Bengal,Maldaha Dakshin,General,Bhartiya Lokmat Rashtrwadi Party,Other-151,SUSMITA DEY KARJEE,3521,14,3535,9,
2024,West Bengal,Maldaha Dakshin,General,Independent,Ind,AMAL KUMAR RABIDAS,3263,8,3271,10,
2024,Madhya Pradesh,Vidisha,General,Right to Recall Party,Other-84,DHARMENDRA SINGH PANWAR (GOLU BHAIYA),1025,1,1026,13,
2024,West Bengal,Maldaha Dakshin,General,Jan Sangh Party,Other-258,ASIM MANDAL,2786,2,2788,13,
2024,West Bengal,Maldaha Dakshin,General,Social Democratic Party Of India,Other-91,MD SHAHNAWAJ RAHMATULLAH,2315,8,2323,14,
2024,West Bengal,Maldaha Dakshin,General,Bharatiya Nyay-Adhikar Raksha Party,Other-106,JALALUDDIN SARKAR,2075,-,2075,15,
2024,West Bengal,Maldaha Dakshin,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,ANGSHUDHAR MANDAL,1178,11,1189,16,
2024,West Bengal,Maldaha Dakshin,General,Rashtriya Secular Majlis Party,Other-587,MD NUR ISLAM SEKH,1130,6,1136,17,
2024,West Bengal,Maldaha Dakshin,General,Jamat-E-Seratul Mustakim,Other-658,MD MONIRUL HASAN,737,4,741,18,
2024,West Bengal,Maldaha Dakshin,General,None of the Above,NOTA,NOTA,2759,38,2797,12,
2024,West Bengal,Jangipur,General,All India Trinamool Congress,AITC,KHALILUR RAHAMAN,543449,978,544427,1,
2024,West Bengal,Jangipur,General,Indian National Congress,INC,MURTOJA HOSSAIN BOKUL,427105,685,427790,2,
2024,West Bengal,Jangipur,General,Bharatiya Janata Party,BJP,DHANANJAY GHOSH,339868,946,340814,3,
2024,West Bengal,Jangipur,General,Independent,Ind,REJAUL MONDAL,7500,-,7500,5,
2024,West Bengal,Jangipur,General,All India Secular Front,Other-24,SAJAHAN BISWAS,6847,11,6858,6,
2024,West Bengal,Jangipur,General,Independent,Ind,MUKTIPADA KONAI,5670,1,5671,7,
2024,West Bengal,Jangipur,General,Independent,Ind,ASHISH BHUIMALI,3949,2,3951,8,
2024,West Bengal,Jangipur,General,Bahujan Samaj Party,BSP,MD SARWARUL ISLAM SARKAR,3511,4,3515,9,
2024,West Bengal,Jangipur,General,Social Democratic Party Of India,Other-91,MD SAHABUDDIN,3489,7,3496,10,
2024,West Bengal,Jangipur,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,SAMIRUDDIN,1946,4,1950,11,
2024,West Bengal,Jangipur,General,Independent,Ind,PARIMAL GHOSH,1928,3,1931,12,
2024,West Bengal,Jangipur,General,Bharatheeya Jawan Kisan Party,Other-71,SANUAR ALI,1698,2,1700,13,
2024,West Bengal,Jangipur,General,Bhartiya Lokmat Rashtrwadi Party,Other-151,RAJIB CHATTERJEE,1527,5,1532,14,
2024,West Bengal,Jangipur,General,Independent,Ind,MD ASADUL BISWAS,1340,-,1340,15,
2024,West Bengal,Jangipur,General,None of the Above,NOTA,NOTA,17135,23,17158,4,
2024,West Bengal,Baharampur,General,All India Trinamool Congress,AITC,PATHAN YUSUF,523630,886,524516,1,
2024,West Bengal,Baharampur,General,Indian National Congress,INC,ADHIR RANJAN CHOWDHURY,438171,1323,439494,2,
2024,West Bengal,Baharampur,General,Bharatiya Janata Party,BJP,DR. NIRMAL KUMAR SAHA,370370,1515,371885,3,
2024,West Bengal,Baharampur,General,Independent,Ind,SAMIRAN DAS,18526,1,18527,4,
2024,West Bengal,Baharampur,General,Independent,Ind,SWAPAN KUMAR MANDAL,6394,2,6396,6,
