election_year,state_name,constituency_name,constituency_type,party_name,short_form,candidate_name,EVM_votes,postal_votes,total_votes,rank,notes
2024,West Bengal,Joynagar,Scheduled Caste,Bahujan Samaj Party,BSP,SHANKAR DEB MONDAL,6363,28,6391,9,
2024,Maharashtra,Ahmednagar,General,Right to Recall Party,Other-84,MADAN KANIFNATH SONVANE,1445,6,1451,16,
2024,West Bengal,Joynagar,Scheduled Caste,Independent,Ind,MILAN NASKAR,2129,7,2136,11,
2024,West Bengal,Joynagar,Scheduled Caste,Independent,Ind,PRATIMA MONDAL,2052,27,2079,12,
2024,West Bengal,Joynagar,Scheduled Caste,None of the Above,NOTA,NOTA,9756,32,9788,7,
2024,West Bengal,Mathurapur,Scheduled Caste,All India Trinamool Congress,AITC,BAPI HALDAR,752486,3245,755731,1,
2024,West Bengal,Mathurapur,Scheduled Caste,Bharatiya Janata Party,BJP,ASHOK PURKAIT,552798,1876,554674,2,
2024,West Bengal,Mathurapur,Scheduled Caste,All India Secular Front,Other-24,AJAY KUMAR DAS,87530,76,87606,3,
2024,West Bengal,Mathurapur,Scheduled Caste,Communist Party of India (Marxist),CPI-M,DR SARAT CHANDRA HALDER,60778,322,61100,4,
2024,West Bengal,Mathurapur,Scheduled Caste,Independent,Ind,BAPI HALDER,8922,12,8934,5,
